subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_1oBeFKEE7qKmSj0,1,1,5,4,4,1,28,1,,2
R_Xker4YjhI4512Vz,1,5,3,3,2,1,22,1,,1
R_exqqFOOTngx1zTL,1,1,7,6,6,2,47,1,,2
R_2xVKJXilyY1F6NC,1,3,5,2,2,2,24,1,,1
R_2dgQ4DtglDqHZs8,1,5,1,2,1,1,21,1,,1
R_3CVmpQtNDurNalP,1,3,5,4,3,1,26,1,,4
R_2tnbCiyZZxtSwaz,1,4,4,3,1,1,22,1,,6
R_2yji9tl9IrsoeZk,1,1,7,2,1,2,25,1,,5
R_RxVoi2iNloli46Z,1,1,6,2,1,2,28,3,,3
R_1DA2ImZrLdtNnxy,1,4,7,1,1,2,28,4,,4
R_ysu0wiSQhW1HelX,1,5,5,2,1,1,19,1,,1
R_00Rme8ocLydizsJ,1,2,5,2,3,1,31,1,,5
R_23ersmdSQidNo97,1,5,3,4,1,1,22,1,,1
R_2Cwckxm01Sw4bo8,1,1,7,4,4,1,30,2,,3
R_23aAVPls34W7bUg,1,2,6,6,6,1,29,1,,3
R_3jBT4InXKOuqvJz,1,2,5,1,4,2,27,2,,2
R_2VPInfCNLSQcXWR,1,1,7,1,1,1,31,,,5
R_2VyJTBskJHrC2Up,1,2,5,2,1,1,20,4,,2
R_bgA1JKHwoX5VZtP,1,2,7,3,1,1,36,4,,4
R_1DRXhkDXbgUNFIp,1,3,1,3,6,2,20,3,,6
R_PLKbW5Au3jwIxbj,1,2,5,2,2,2,26,1,,2
R_2Ph4J0wlM47ap01,1,2,7,3,3,1,19,4,,4
R_qI4Dbvaazhwvgyt,1,5,3,3,6,1,25,1,,1
R_2mkF9CcBl3Mrnm9,1,3,5,3,4,1,32,3,,3
R_XZDIC11ab3bNJVT,1,2,7,1,6,2,29,1,,4
R_3rZzEh1dSlMQO2Z,1,2,5,5,2,2,42,1,,3
R_cIUu5tB8CjQe2dz,1,5,5,3,5,2,44,1,,1
R_2V3IF1rONV8qy5V,1,5,2,3,2,2,27,1,,2
R_9uTqPfzztPLPZDz,1,5,1,4,1,1,31,1,,2
R_p0lJGEzwllodLAl,1,3,4,4,1,1,19,4,,1
R_1Iyh4mYKO1OR48o,1,2,6,2,,1,20,4,,5
R_3JgyquH8XgBtpYe,1,4,5,3,1,1,26,1,,1
R_1dH5oNK3Pe63Hfs,2,4,4,5,3,1,26,3,,1
R_1Qo76h1UZUU11YE,2,6,1,4,3,1,27,3,,3
R_yI58oYYSSTeype9,2,6,1,1,1,2,36,1,,1
R_1DYbKzCZYvFByzE,2,6,5,1,1,2,23,1,,5
R_5nYuUpKQ1j8OVDL,2,5,2,3,2,1,33,1,,4
R_2wHMrDDBVjxsLty,2,7,5,4,2,1,24,1,,1
R_2X6wWtt59aDBE0t,2,3,2,3,3,1,25,1,,1
