subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_25Qkt3rJSmwNWL7,2,7,1,4,1,1,50,1,,2
R_R2zukctHXFR64ox,2,3,1,2,4,2,21,1,,2
R_TdASig3O3RhcZLr,2,4,1,2,1,2,23,3,,3
R_1GUhH2ppjq9B3An,2,3,1,1,1,2,24,1,,2
R_3noOQNsqI9JoAMX,2,4,1,1,1,1,26,1,,1
R_2tbBnYhCvUDJfhg,2,3,1,6,4,2,50,1,,5
R_3MSdQ5JCPQKT3HP,2,4,1,5,1,2,47,3,,5
R_3PH05kJh58AUPkJ,2,4,1,5,1,2,29,1,,2
R_2TMKkxklz7RtJbB,2,4,1,4,1,2,40,3,,1
R_3e4gDp2PPowHxJy,2,6,4,1,1,1,30,1,,2
R_1Fs8UB1qWqUsmIo,2,4,3,3,1,1,22,4,,1
R_eR1woDQIfOkqWqN,2,7,1,6,2,2,47,1,,1
R_3Eo458JWAbz7RBH,2,2,2,4,2,2,29,4,,2
R_sv3l1oHYwc58C8F,2,7,1,5,1,1,28,1,,2
R_2dY2zCH8gIF7RrS,2,6,1,1,1,1,28,1,,1
R_27CLAlz4s3tVxAR,2,6,3,1,5,2,34,2,,2
R_3HnRidI0Jl85yAz,2,7,1,4,1,2,42,1,,1
R_3JEi0AzrBro3G5o,2,6,2,4,4,2,58,4,,2
R_R2jgSJoa9lEWwyR,2,4,2,3,1,2,26,2,,1
R_232g94YRIdQfqyM,2,2,2,6,2,1,25,1,,1
R_10Yn1NmqbKsuKzw,2,7,3,3,1,2,29,1,,2
R_xFV1b2poyiR9fEd,2,6,2,2,2,1,45,1,,1
R_1OHtRT8OwrfXDQB,2,3,1,4,1,1,21,4,,4
R_3RdR6UUdCUAzRrM,2,5,2,3,2,1,22,4,,2
R_2roSB4T6dHOnMSe,2,1,1,6,6,2,32,,,1
R_1JXarKKBhJDrX02,2,7,2,3,2,1,20,1,,1
R_2E0EaIXLn2MBkZH,2,6,2,2,2,1,22,1,,2
R_3HhKyMUrH1z2to1,2,7,2,2,1,1,31,1,,2
R_1I4MJDBg2PPc6Wu,2,6,1,4,1,2,24,1,,3
R_1BXUo8QxyfbcIOf,2,5,1,1,1,1,27,1,,1
R_ZDHFyPG26lF8weJ,2,6,1,3,6,2,52,1,,2
R_3JDSFDLUcjQfoBG,2,7,1,5,1,2,22,1,,2
R_bj5sqPlwvPPCbMF,2,2,1,1,1,2,33,1,,2
R_3fkmY3clmnDu9yp,2,7,1,5,4,1,21,1,,1
R_OiNmYWXbvQbHyaR,2,5,3,3,2,2,26,1,,1
R_1ouVb2gHIlgItdw,2,6,1,1,1,1,27,1,,2
R_dhTCT85gZWd32et,2,7,1,1,1,1,27,1,,2
R_QhSCGDAWrHSeDuh,2,6,2,2,1,1,32,5,mult-racial: white and hispanic,2
R_2aE9CqAVF0TkFZf,2,5,1,5,1,1,30,1,,2
R_1M4ikhJATjvkSPT,2,1,1,1,1,2,24,3,,2
R_3iqG0MuQ4pXfR6J,2,6,1,3,1,1,51,1,,1
R_TknIeuqGbXCP745,2,6,5,4,3,2,24,2,,2
R_11YLK8ciVFvX52f,2,2,1,2,4,2,23,2,,1
R_1MMzI129V4pEBCc,2,5,2,3,1,1,24,4,,1
R_1n0CjBtF07OP1XD,2,1,1,1,1,1,20,1,,2
R_5c1KUMbEhgrOsmN,2,3,5,2,2,1,44,1,,2
R_UfQIhsB69L19oIh,2,4,5,3,5,2,47,2,,1
R_2y8YqmWmKrwkLKs,2,4,2,4,3,2,38,1,,3
R_2V7TtAfKpLB9Tfz,2,6,1,2,5,2,46,2,,2
R_2TLtqJ9Exwbblck,2,6,1,2,5,1,31,1,,1
R_yIMZ7rz4Q9sBA53,2,7,2,2,2,1,28,4,,1
R_0i8wtezBKov6qWx,2,3,1,2,5,1,42,1,,4
R_1LLrOOOelyxr8vD,2,5,2,3,4,1,38,2,,3
R_2zd6kSIsHX7O66R,2,5,1,2,1,1,29,1,,2
R_2dRO0eWjuuKn55t,2,7,1,2,4,1,43,1,,3
R_3FOviyuR3kA9Jmf,2,5,4,2,5,1,20,1,,1
R_Dpjio1GFlqIdGYV,2,4,1,2,2,2,30,1,,2
R_2cdfcv7pMXXWyf0,2,7,2,1,1,2,27,1,,3
R_2nNd5KreIsTWk7P,2,4,4,4,4,1,25,1,,1
R_bdXhi1qvFopLjFL,2,5,1,3,1,1,23,1,,1
R_1eztZKt1WWeIipV,2,1,1,4,5,2,30,1,,2
R_1pDyH2euaoGJarz,2,6,6,2,1,1,21,1,,1
R_3kG0R9HX2z07oAt,2,3,4,3,1,1,28,1,,2
R_3ISjV2Kpi6jfYHP,2,7,1,5,4,2,35,5,NATIVE AMERICAN,3
R_3dEBxYtmjRIjPAR,2,1,1,1,1,1,31,1,,2
R_zdHbZL9PUcm4PtL,2,5,1,2,1,2,25,1,,2
R_1DT14TTiZcTbO4C,2,5,2,5,5,1,39,1,,1
R_2ALQUDGqLREGxpT,2,2,2,2,2,1,41,1,,2
R_1QgaVmhBFjVuaDc,2,1,1,1,1,2,39,1,,4
R_C7DKfhgrLyxxlAJ,2,2,1,3,2,1,18,1,,1
R_1exxMj7ySLWJT8i,2,6,3,4,4,1,21,1,,2
R_1GH9oFseDM4wXIi,2,6,2,2,1,1,33,1,,3
R_22yMeZukSlHvqlR,2,3,2,4,3,1,28,1,,1
R_xDRyXnU939vHA41,2,3,1,2,5,1,24,4,,3
R_7a0nkpZu0cPkq7H,2,6,1,4,2,2,29,1,,3
R_2chptIYRCf609XY,2,6,1,3,4,1,19,1,,1
R_1r32vt4fi2JukRG,2,5,3,3,2,1,29,5,Native American,2
R_1IAeBwVaRiFpuaH,2,3,4,2,5,1,22,1,,1
R_2f8ViW7ZpWL3CXW,2,3,4,5,4,1,37,1,,2
R_vkxnPIDnEKhSKPf,2,5,2,1,4,2,23,1,,1
R_XGKURlRcNoHiiLT,2,2,1,3,1,2,51,5,Multi-Ethnic (50/50Caucasian & Native American),2
R_3oG7LnituVZs5Nd,2,4,4,3,3,1,22,4,,1
R_a48OMNrJ17LBVbv,2,7,1,1,1,1,63,1,,3
R_24w0iGOArdUoDUu,2,4,1,2,1,1,21,1,,4
R_8rf0JyUpbYo5ub7,2,1,1,4,1,1,28,1,,2
R_1kGCWXT7pOXSiWc,2,2,2,1,1,2,22,1,,1
R_yr8CUoghu7R1nHj,2,7,1,3,1,2,22,1,,1
R_3hrTcbuaKThyP00,2,6,2,4,1,1,43,4,,3
R_PFjD0XzK1AjOyqd,2,7,1,2,1,1,29,1,,3
R_1gO0WtYVrQsW0mS,2,4,1,3,1,1,32,1,,2
R_rdrL24infRCrbkl,2,4,2,6,6,2,32,1,,4
R_0cV3DYZkTSGWLUB,2,6,2,3,2,1,26,1,,1
R_3KUuQwIBVtrYlvy,2,6,1,1,2,1,48,1,,2
R_31FUf9eMA5XNpe3,2,3,1,1,1,2,28,1,,1
