subj,condition,mediator,dv,politics,religion,gender,age,race,race_TEXT,income
R_9FZuqZb7k1OIX97,2,6,7,2,1,1,40,1,,1
R_1ozmyvkFo2zIJHl,2,7,6,2,1,2,23,1,,1
R_pbbdbAJXxo69Ew9,2,3,5,2,1,1,,1,,3
R_1kOAiZcA0IU194C,2,4,5,3,1,2,29,1,,3
R_1mUhRKUTVA52rho,2,5,3,4,5,2,63,1,,1
R_PtuLA6kEBAOXIiJ,2,4,7,2,1,2,42,1,,2
R_1drXgJIqyg3lFXY,2,5,7,4,1,1,39,1,,3
R_1dAnXCblmFINQfQ,2,6,6,4,4,2,24,1,,2
R_2xPFI94UFNAG6jd,2,6,7,2,2,1,51,1,,4
R_22xWQtymnFNqAiZ,2,6,7,5,4,2,37,4,,3
R_qVfx3qbzfb8Afw5,2,1,4,6,5,1,36,1,,2
R_cMGp8Zs4karI40x,2,2,6,2,1,2,37,1,,3
R_2ZUNk611WvczNXH,2,2,3,3,5,2,20,4,,5
R_1QAVoWI6NPBN6J8,2,7,7,3,1,1,34,1,,1
R_22Wimziwtlnbvou,2,6,5,2,6,1,39,2,,3
R_2q1JLeXJgzGHftt,2,5,5,1,2,1,44,3,,2
R_1pEtV3r45AMUhfa,2,7,6,4,1,1,36,1,,1
R_1dADNN4Rw2G0QY2,2,6,4,3,1,1,32,1,,2
R_3g0HBT6TNFtDim3,2,6,6,2,1,1,27,3,,2
R_es34y4VDiE2PkDb,2,7,7,6,6,1,52,1,,1
R_2rj5ILMNeaQ1Jm9,2,6,6,5,1,1,31,1,,2
R_1pPUPJuT0XN6A9p,2,4,4,3,1,2,,3,,1
R_wLsMX46tOoKfgvn,2,1,6,1,1,2,24,1,,1
R_2b29r02BqsxNGmu,2,7,7,3,1,1,30,1,,2
R_9zOnoyloZNtgfvj,2,2,6,3,5,2,33,1,,2
R_1q2nFMvNcoMyPmd,2,3,6,4,4,,32,1,,5
R_1gvbfOBKwnXGgJx,2,5,6,1,1,2,32,1,,2
R_ymDHbttf0aoz9mx,2,6,6,5,5,1,58,1,,3
R_3qtKer4c5fmJXgt,2,3,3,5,3,1,26,1,,2
R_1DpaQJkpB5NvICe,2,5,4,4,1,2,34,4,,3
R_5mvVL8jqw4mw6qh,2,7,6,3,1,2,25,2,,1
R_2fGIMp4jLSJoGGg,2,1,7,2,1,1,21,4,,2
R_dgnwZDJXwTIgQ2F,2,7,6,2,1,2,21,1,,1
R_3k66F8MrSjn4hEJ,2,7,7,3,1,1,41,1,,2
R_3kAHVQRlQxo5LD2,2,7,7,4,1,1,31,1,,3
R_117qgZRCvauofej,2,6,7,5,1,2,40,1,,4
R_3dLYC1NCVJMsXT3,2,2,6,4,1,1,22,1,,1
R_21BAi8N2bY4hQTo,2,5,6,5,3,1,27,1,,1
R_1imIlF7ZvPjoSq8,2,2,5,3,5,1,25,3,,1
R_3jcT3TabsF50Uqk,2,6,4,2,1,1,32,2,,2
R_2Seop5XLqMpANAt,2,1,6,3,,1,,1,,2
R_2PzlKGWVxO9RBkJ,2,7,6,3,2,1,30,1,,3
R_0MzfNLcnkdXWmGh,2,2,5,4,1,1,21,5,Asian/White,1
R_2zMdw8ZKH9oTQiG,2,5,6,3,5,2,29,2,,3
R_2t3GirroD5A5LoA,2,3,2,2,2,2,23,3,,5
R_3kGlGZdS2wdNLB2,2,1,6,2,2,1,23,1,,1
R_2WOPasmXXve7hDy,2,3,7,2,2,1,39,1,,4
R_324HGv48rpwUUJW,2,2,4,1,2,1,31,1,,2
R_269gmnGHQTvCtQx,2,2,5,2,1,1,25,1,,1
R_RkLRqOwbMs7fhBf,2,7,7,3,1,1,31,1,,3
R_qwFkCxOLW4XMjpT,2,1,7,1,4,1,31,1,,1
R_1MJIZcIvdS6PUl9,2,7,2,5,3,1,35,1,,1
R_1OPtLbQZub54HwM,2,6,7,6,6,1,36,1,,2
R_pfSLsARAMUbPSCt,2,6,2,2,1,1,20,2,,5
R_1HoWH5relITcRd5,2,6,4,6,6,2,51,1,,3
R_3NxlKnOk69mnKdr,2,1,4,1,2,2,51,1,,3
R_1HcxZUdwlCCNzSW,2,6,6,4,4,1,47,1,,4
R_3n1R5pg336F7Aob,2,3,5,4,6,2,59,1,,3
R_2aIAbYzZnLLZvKO,2,7,7,3,4,2,23,1,,1
R_3KxXsbGKgLAvIuw,2,6,5,5,5,2,24,1,,3
R_PuiAAnb5L8kUUrn,2,5,6,3,1,1,27,1,,1
R_Rmf8Wujk82rBpYd,2,4,4,3,1,1,26,1,,2
R_3FVfVG5Uev85oj6,2,4,6,3,1,1,22,1,,1
R_r6F7vplaQ8vbd1T,2,5,7,4,5,2,30,1,,4
R_3rHX3pLZdRJun1s,2,7,6,3,1,1,24,4,,1
R_qXHyUXizwfmflqp,2,4,5,5,5,1,54,1,,3
R_cvfZmMWvxxciLw9,2,7,7,2,6,2,34,1,,2
R_XsNNMdTxtt6pt8B,2,2,5,2,2,2,28,1,,3
R_QbtJIx5kAfuUO53,2,1,6,3,1,2,23,1,,1
R_2t2OMFxMPvu8jpu,2,7,7,2,1,2,29,1,,3
R_2sdrRQwo99aCnya,2,4,7,2,4,2,25,2,,1
R_DuxlAWcxa7q9pL3,2,7,4,3,1,1,32,1,,3
R_sofHvKwZe9PaTDP,2,5,5,3,3,2,54,1,,2
R_2WuKkFkRQ1xlTxB,2,6,7,2,1,2,32,1,,5
R_1Qiw0Hy3HPnYsWc,2,5,6,3,2,1,55,1,,1
R_3jUke4jwqWCBWgr,2,3,4,5,6,2,26,1,,3
R_2S3546Rr7yyukQ1,2,7,6,4,1,2,27,1,,1
R_3iD6BDpVAd3Q3q7,2,1,7,5,1,2,35,1,,3
R_AG4Bo4s5qxK1AFb,2,7,7,6,1,1,45,1,,5
R_1IlKw8TxSOsOqeA,2,4,7,4,3,1,40,1,,2
R_1rlv81SkHlmL4On,2,4,4,3,1,1,18,1,,2
R_2az8w4JANR2lx61,2,2,3,4,1,2,37,1,,1
R_2tMuZJDdawzqmv9,2,5,5,2,2,2,23,1,,5
R_23VIT3pbedW2wCz,2,7,6,5,1,1,21,1,,4
R_3J2SQ68x7ViF01B,2,5,6,4,2,1,47,1,,3
R_3Mlh6agFOjZ3YyG,2,2,5,2,2,1,20,3,,4
R_3HHBl6KoxTfDL3o,2,3,5,1,1,2,20,2,,2
R_2rwjn6etE6z64Lf,2,5,5,4,3,1,34,1,,2
R_2f7GNSiT2eayNxR,2,7,5,1,4,1,22,2,,2
R_1Qz2NFobJRckD8b,2,6,5,4,3,2,34,1,,2
R_3J9HPTDT9KmEXx7,2,6,6,2,1,2,26,1,,1
R_110VsPH7DzqHrPQ,2,6,4,3,3,1,32,2,,2
R_27PdgeaRaA14cLn,2,4,5,4,2,1,26,1,,2
R_2VllMFnriUsuOUH,2,3,5,3,5,2,25,1,,2
R_11c5Hx0EwM7WO1F,2,5,7,3,2,1,29,1,,2
R_9B56XgfzamwH853,2,6,6,3,1,1,51,1,,1
R_3lDrzXEVYFmmg9n,2,7,7,2,1,1,34,1,,3
R_cvDTaRlthIG9DFv,2,7,4,3,5,1,39,4,,3
R_2P1iLFXfvk1DUGq,2,5,7,4,2,1,54,1,,5
R_12079SHerSjAXXd,2,2,1,4,4,2,37,2,,2
R_2rjfQhg7Oy1fTAl,2,5,5,2,1,1,34,3,,1
R_1ImHuwe7MDvO7Bg,2,3,5,2,1,1,21,1,,1
R_Ap2GunNIAml2n1D,2,7,1,3,1,1,28,1,,1
R_1d4WhZGqBKGlRId,2,3,4,3,2,1,21,1,,2
