subj,condition,mediator,dv,moraljudg,politics,religion,gender,age,race,race_TEXT,income
R_21ig9xD9cZcYfCa,1,6,1,1,5,5,1,28,1,,6
R_3M4OSHlsNiLtoIq,1,3,5,5,2,5,1,28,4,,1
R_12lIFsIe6FMcREp,1,4,7,7,1,1,1,23,2,,1
R_DjyHUfdxYvF9jNL,1,4,1,7,6,6,2,53,1,,2
R_yPZAAHbciH3Hrk5,1,4,4,4,3,1,2,29,1,,1
R_31Xd4dq1LyRRLMl,1,3,5,4,2,1,1,36,1,,2
R_2foDKADbabN5sDY,1,5,7,5,3,5,2,33,2,,2
R_1hAvsz5CSPfHapz,1,5,4,5,3,1,1,18,1,,1
R_2gzjg0Da4lEGSo9,1,4,4,4,2,1,1,21,3,,2
R_3rVCcIl8FSLm2p1,1,1,7,7,1,6,1,42,2,,1
R_2E4wq470WrX1nz8,1,1,2,7,5,1,1,27,1,,2
R_UDwwQZuxKpJg9J7,1,4,1,2,4,1,1,34,1,,2
R_sBf2aDeGDMpod69,1,1,7,7,3,1,1,30,1,,2
R_3EXO2hTEbNDLX3C,1,1,7,7,4,6,2,33,5,Middle Eastern,3
R_3KAy8bt8SdxJuOu,1,2,6,7,5,5,1,38,3,,5
R_3fGMcTAbDPAe3oq,1,7,7,7,1,4,1,33,4,,3
R_3LhGltqmKVCIGu7,1,2,4,3,4,1,1,28,1,,1
R_3nurA54AmHDhDLs,1,7,6,4,1,1,2,23,1,,3
R_2CwGANtputJhUu3,1,1,7,7,2,1,2,23,1,,1
R_2tusrMJ7VEa1g9h,1,2,6,4,1,2,2,24,1,,2
R_3D1IxZbHbkXjUIc,1,5,5,3,4,5,1,72,1,,2
R_r6FKFQoRgOYaXnj,1,2,6,6,2,2,2,18,2,,3
R_3HSmT8m6SsAlYb8,1,6,5,5,5,6,2,35,2,,2
R_2wB3qy2EX4o429a,1,4,3,4,4,1,2,25,1,,2
R_2489PV7zCFaw9Uv,1,3,1,2,3,1,1,37,1,,5
R_p65OceePfWI9TwJ,1,2,7,7,5,6,2,43,1,,2
R_1Q9M478aiyCiyYz,1,7,7,7,1,1,1,23,,,1
R_2rvyHKuptWJuUbe,1,2,4,6,2,1,1,23,1,,2
R_1Qu2gUtF25DgUvS,1,1,1,7,1,1,2,24,1,,1
R_31bxHkycfOJEEuS,1,2,3,4,3,1,1,27,1,,2
R_210U72ka5Qw6Bb1,1,1,7,7,4,4,1,23,1,,1
R_231OIT2Y0OMWda5,1,2,2,3,2,1,2,35,1,,2
R_2Xcg0OZOhke5TDh,1,2,5,4,4,2,1,,1,,1
R_2VPI8IhUFij8Lnt,1,1,5,6,1,1,1,44,1,,1
R_12ffYpWfVGROdfs,1,2,2,5,4,1,1,40,1,,4
R_3PmLCLGs5aieork,1,4,2,5,1,1,1,26,1,,1
R_ahFTNZQmfHHGFwt,1,4,5,4,3,1,1,18,4,,1
R_2WwLHBVn36EDqtl,1,2,6,5,4,1,2,40,1,,3
R_3oR6bb0ggZX8ZY7,1,7,7,4,3,4,1,24,4,,2
R_3mdgr4nRWoVWMw1,1,4,1,2,2,2,1,18,4,,1
R_DI56NPD5Id17eSZ,1,1,2,4,4,5,2,60,1,,1
R_3HY999CVsFqRDqQ,1,4,7,7,4,5,1,28,1,,3
R_XBRpNIJwkEzp8YN,1,1,1,2,2,1,1,31,1,,1
R_3qqcHxafrzIZ0Po,1,5,2,4,5,1,1,24,1,,3
R_pFoY5mhMO0aeyoV,1,2,6,4,1,1,1,25,1,,2
R_2BqyyHufjPNYnPq,1,2,3,3,2,1,1,34,4,,3
R_1DGp9Tg1TfLScaM,1,4,4,5,3,4,1,33,1,,3
R_3qg7FsGyt7waCvg,1,1,4,6,1,1,1,31,1,,1
R_3MLPeFijo4upBsh,1,3,4,5,4,1,1,25,1,,2
R_bDdZUDewDePJxgl,1,2,2,5,3,5,2,35,5,Native American,4
R_C3sa8IaAbCbBtOF,1,1,7,7,1,1,2,43,1,,4
R_uvKgUbr2ruYA9uV,1,2,5,6,2,4,1,35,4,,1
